COUNTY,LAT,LON,B1,G1,B2,G2,B3,G3,B4,G4,B5,G5,B6,G6,B7,G7,B8,G8
Baringo,"0.6692519803"," 35.9464653527","10356","9281","9431","8555","9313","8681","10201","9551","9383","9188","9551","9424","9865","9815","7484","7265"
Bomet,"-0.7262945834"," 35.2985975867","16480","15313","15837","14553","15648","14780","15747","14865","14507","14557","14450","14657","15725","16342","10872","10983"
Bungoma,"0.7492852396"," 34.6404608756","33985","34329","33855","34135","34695","34414","34749","35206","33876","34410","34084","34546","33430","34879","19176","19593"
Busia,"0.3874436775"," 34.1936314884","18613","18428","17737","17653","17574","17200","17235","17729","16427","17150","15802","16481","14241","14680","9169","8889"
Elgeyo Marakwet,"0.8022188109"," 35.5365631474","8071","7496","7664","7255","7519","7233","7856","7698","7599","7583","8041","8228","8064","8700","5662","5950"
Embu,"-0.6039743776"," 37.6265013265","7815","7148","7950","7119","8110","7487","8352","7874","8084","8042","7833","8518","7659","8687","6002","6561"
Garissa,"-0.4889103448"," 40.1992785378","15781","11744","14085","9917","11887","7837","8679","5133","7439","4389","7106","4030","5759","3199","5025","2493"
Homa Bay,"-0.5428093942"," 34.3589968687","22084","21892","22183","21700","21831","21946","22171","21706","21712","20957","21112","20481","19325","18030","13538","11827"
Isiolo ,"1.0104430775"," 38.5421531206","2989","2878","2635","2482","2506","2430","2298","2398","2165","2234","2060","2038","2048","1846","1514","1442"
Kajiado,"-2.1213835779"," 36.908842193","10851","10588","10762","10285","10925","10635","11492","10916","10327","9972","9572","9908","8807","8408","7540","7076"
Kakamega,"0.403683464"," 34.744511153","39007","38572","38554","38121","38719","37398","37948","38537","35862","37039","34387","36779","30843","33130","20126","22085"
Kericho,"-0.295732906"," 35.3140700086","16138","14966","15688","14785","15383","14579","15612","15059","14718","14724","14662","14445","15008","15521","11618","12004"
Kiambu ,"-1.068706066"," 36.8235642579","19582","18751","19802","19282","20452","19882","21709","20866","21372","20867","21223","21049","20901","21457","19498","20077"
