COUNTY,Class,Number,Gender,Year,LAT,LON,OBJECTID
Baringo,Class 1,10356,Boys,12/31/2014 12:00:00 AM,0.6692519803, 35.9464653527,0
Baringo,Class 1,9281,Girls,12/31/2014 12:00:00 AM,0.6692519803, 35.9464653527,1
Bomet,Class 1,15313,Girls,12/31/2014 12:00:00 AM,-0.7262945834, 35.2985975867,2
Bomet,Class 1,16480,Boys,12/31/2014 12:00:00 AM,-0.7262945834, 35.2985975867,3
Bungoma,Class 1,33985,Boys,12/31/2014 12:00:00 AM,0.7492852396, 34.6404608756,4
Bungoma,Class 1,34329,Girls,12/31/2014 12:00:00 AM,0.7492852396, 34.6404608756,5
Busia,Class 1,18428,Girls,12/31/2014 12:00:00 AM,0.3874436775, 34.1936314884,6
Busia,Class 1,18613,Boys,12/31/2014 12:00:00 AM,0.3874436775, 34.1936314884,7
Elgeyo Marakwet,Class 1,8071,Boys,12/31/2014 12:00:00 AM,0.8022188109, 35.5365631474,8
Elgeyo Marakwet,Class 1,7496,Girls,12/31/2014 12:00:00 AM,0.8022188109, 35.5365631474,9
Embu,Class 1,7148,Girls,12/31/2014 12:00:00 AM,-0.6039743776, 37.6265013265,10
Embu,Class 1,7815,Boys,12/31/2014 12:00:00 AM,-0.6039743776, 37.6265013265,11
Garissa,Class 1,15781,Boys,12/31/2014 12:00:00 AM,-0.4889103448, 40.1992785378,12
Garissa,Class 1,11744,Girls,12/31/2014 12:00:00 AM,-0.4889103448, 40.1992785378,13
Homa Bay,Class 1,21892,Girls,12/31/2014 12:00:00 AM,-0.5428093942, 34.3589968687,14
Homa Bay,Class 1,22084,Boys,12/31/2014 12:00:00 AM,-0.5428093942, 34.3589968687,15
Isiolo ,Class 1,2989,Boys,12/31/2014 12:00:00 AM,1.0104430775, 38.5421531206,16
Isiolo ,Class 1,2878,Girls,12/31/2014 12:00:00 AM,1.0104430775, 38.5421531206,17
Kajiado,Class 1,10588,Girls,12/31/2014 12:00:00 AM,-2.1213835779, 36.908842193,18
Kajiado,Class 1,10851,Boys,12/31/2014 12:00:00 AM,-2.1213835779, 36.908842193,19
Kakamega,Class 1,39007,Boys,12/31/2014 12:00:00 AM,0.403683464, 34.744511153,20
Kakamega,Class 1,38572,Girls,12/31/2014 12:00:00 AM,0.403683464, 34.744511153,21
Kericho,Class 1,14966,Girls,12/31/2014 12:00:00 AM,-0.295732906, 35.3140700086,22
Kericho,Class 1,16138,Boys,12/31/2014 12:00:00 AM,-0.295732906, 35.3140700086,23
Kiambu ,Class 1,19582,Boys,12/31/2014 12:00:00 AM,-1.068706066, 36.8235642579,24
Kiambu ,Class 1,18751,Girls,12/31/2014 12:00:00 AM,-1.068706066, 36.8235642579,25
Kilifi ,Class 1,19667,Girls,12/31/2014 12:00:00 AM,-3.1757320132, 39.6866875507,26
Kilifi ,Class 1,21029,Boys,12/31/2014 12:00:00 AM,-3.1757320132, 39.6866875507,27
Kirinyaga,Class 1,7057,Boys,12/31/2014 12:00:00 AM,-0.5247462962, 37.3198681093,28
Kirinyaga,Class 1,6448,Girls,12/31/2014 12:00:00 AM,-0.5247462962, 37.3198681093,29
Kisii,Class 1,21503,Girls,12/31/2014 12:00:00 AM,-0.7746037572, 34.7747229835,30
Kisii,Class 1,22266,Boys,12/31/2014 12:00:00 AM,-0.7746037572, 34.7747229835,31
Kisumu ,Class 1,18220,Boys,12/31/2014 12:00:00 AM,-0.1694586948, 34.835203466,32
Kisumu ,Class 1,17860,Girls,12/31/2014 12:00:00 AM,-0.1694586948, 34.835203466,33
Kitui,Class 1,23200,Girls,12/31/2014 12:00:00 AM,-1.4910385308, 38.4069210158,34
Kitui,Class 1,24323,Boys,12/31/2014 12:00:00 AM,-1.4910385308, 38.4069210158,35
Kwale,Class 1,13915,Boys,12/31/2014 12:00:00 AM,-4.1831495272, 39.1904119005,36
Kwale,Class 1,13086,Girls,12/31/2014 12:00:00 AM,-4.1831495272, 39.1904119005,37
Laikipia,Class 1,6190,Girls,12/31/2014 12:00:00 AM,0.3236041225, 36.7717278588,38
Laikipia,Class 1,6479,Boys,12/31/2014 12:00:00 AM,0.3236041225, 36.7717278588,39
Lamu,Class 1,2267,Boys,12/31/2014 12:00:00 AM,-2.0786825436, 40.882860682,40
Lamu,Class 1,1939,Girls,12/31/2014 12:00:00 AM,-2.0786825436, 40.882860682,41
Machakos,Class 1,17703,Girls,12/31/2014 12:00:00 AM,-1.2795123066, 37.4126760329,42
Machakos,Class 1,18818,Boys,12/31/2014 12:00:00 AM,-1.2795123066, 37.4126760329,43
Makueni,Class 1,19147,Boys,12/31/2014 12:00:00 AM,-2.1576841001, 37.7882455725,44
Makueni,Class 1,17482,Girls,12/31/2014 12:00:00 AM,-2.1576841001, 37.7882455725,45
Mandera,Class 1,6446,Girls,12/31/2014 12:00:00 AM,3.436469488, 40.7388101667,46
Mandera,Class 1,10761,Boys,12/31/2014 12:00:00 AM,3.436469488, 40.7388101667,47
Marsabit,Class 1,5239,Boys,12/31/2014 12:00:00 AM,2.9786587865, 37.5695361088,48
Marsabit,Class 1,4785,Girls,12/31/2014 12:00:00 AM,2.9786587865, 37.5695361088,49
Meru,Class 1,24044,Girls,12/31/2014 12:00:00 AM,0.1667792413, 37.7640370542,50
